trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
178,False,"{'a': 0.9, 'e': 0.5821611805736522}",20,11,18.42072862913916,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.9, 'e': 0.5803844971343535}",25,8,-13.766741952209355,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
180,False,"{'a': 0.9, 'e': 0.5786132359116999}",25,3,36.13734762804892,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.9, 'e': 0.5768473803577614}",30,6,37.112280102755456,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.9, 'e': 0.5750869139751101}",20,13,14.11850089963222,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.9, 'e': 0.5733318203166663}",20,5,26.820482551368208,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.9, 'e': 0.5715820829855445}",20,12,16.376757069541988,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.9, 'e': 0.5698376856349009}",30,11,31.775872143515983,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.9, 'e': 0.5680986119677796}",20,8,-22.48520553242417,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
187,False,"{'a': 0.9, 'e': 0.5663648457369616}",30,20,20.13087351736134,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.9, 'e': 0.5646363707448119}",25,3,25.567037536183086,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.9, 'e': 0.5629131708431291}",30,18,20.537331383898625,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.9, 'e': 0.5611952299329939}",35,21,24.987229969740376,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.9, 'e': 0.5594825319646187}",35,15,-65.83590846816737,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",1
192,False,"{'a': 0.9, 'e': 0.5577750609371981}",20,2,16.591518282441736,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.9, 'e': 0.5560728008987591}",30,16,29.95539965325626,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.9, 'e': 0.5543757359460122}",30,16,24.276581975146,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.9, 'e': 0.5526838502242027}",30,7,41.56000417609706,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.9, 'e': 0.5509971279269626}",25,11,25.294754356905642,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.9, 'e': 0.549315553296163}",20,9,18.957769304553153,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.9, 'e': 0.5476391106217668}",20,16,8.548768362384841,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.9, 'e': 0.5459677842416821}",30,0,-5.514051201199722,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",1
200,False,"{'a': 0.9, 'e': 0.5443015585416158}",25,13,22.15712507544424,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.9, 'e': 0.5426404179549272}",20,0,35.55633314901111,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
202,False,"{'a': 0.9, 'e': 0.5409843469624838}",25,10,25.513015234515212,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.9, 'e': 0.5393333300925149}",20,8,22.99331324813951,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.9, 'e': 0.5376873519204681}",25,16,-29.523963090554663,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
205,False,"{'a': 0.9, 'e': 0.5360463970688648}",30,17,21.101206319551284,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.9, 'e': 0.5344104502071562}",20,0,7.937526269003095,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
207,False,"{'a': 0.9, 'e': 0.5327794960515809}",20,0,-6.7890405435363395,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
208,False,"{'a': 0.9, 'e': 0.5311535193650213}",25,0,35.99640347907367,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
209,False,"{'a': 0.9, 'e': 0.5295325049568617}",25,11,25.501187867505134,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.9, 'e': 0.5279164376828464}",25,8,28.25773381574675,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.9, 'e': 0.5263053024449377}",20,13,10.942920319988163,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.9, 'e': 0.5246990841911757}",20,0,18.398981501081757,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
